@relation horse-colic
@attribute 'surgery' {yes,no}
@attribute 'Age' {adult,young}
@attribute 'rectal_temperature' real [35.4,40.8]
@attribute 'pulse' real [30,184]
@attribute 'respiratory_rate' real [8,96]
@attribute 'temp_extremities' {normal,warm,cool,cold}
@attribute 'peripheral_pulse' {normal,increased,reduced,absent}
@attribute 'mucous_membranes' {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute 'capillary_refill_time' {'<3','>=3','meaning unknown'}
@attribute 'pain' {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute 'peristalsis' {hypermotile,normal,hypomotile,absent}
@attribute 'abdominal_distension' {none,slight,moderate,severe}
@attribute 'nasogastric_tube' {none,slight,significant}
@attribute 'nasogastric_reflux' {none,'>1l','<1l'}
@attribute 'nasogastric_reflux_PH' real [1,8.5]
@attribute 'rectal_examination' {normal,increased,decreased,absent}
@attribute 'abdomen' {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute 'packed_cell_volume' real [4,75]
@attribute 'total_protein' real [3.3,89]
@attribute 'abdominocentesis_appearance' {clear,cloudy,serosanguinous}
@attribute 'abdomcentesis_total_protein' real [0.1,10.1]
@attribute 'outcome' {lived,died,euthanized}
@attribute 'class' {yes,no}
@data
yes,adult,37.8,60,80,normal,reduced,'bright pink','>=3',depressed,hypomotile,moderate,?,'>1l',5.5,absent,?,40,4.5,cloudy,?,lived,yes
yes,adult,37.8,40,12,normal,normal,'normal pink','<3','alert no pain',normal,none,slight,none,?,normal,other,38,7,?,?,lived,yes
yes,adult,38.5,120,60,cold,reduced,'dark cyanotic','>=3',?,hypomotile,?,?,?,?,?,?,54,?,?,?,lived,yes
yes,adult,38.3,52,96,?,reduced,'pale pink','<3',?,?,?,none,none,?,normal,?,43,6.1,?,?,lived,yes
no,adult,38.3,44,60,?,?,'normal pink','<3',?,?,?,?,?,?,?,?,6.4,36,?,?,lived,yes
yes,adult,37.4,84,36,normal,?,'pale pink','>=3','intermittent mild pain',hypomotile,slight,?,?,?,absent,'distended large intestine',?,?,serosanguinous,?,died,yes
no,adult,37.6,48,20,cool,normal,'pale cyanotic','<3','alert no pain',hypermotile,moderate,slight,none,?,normal,normal,37,5.5,?,?,euthanized,yes
yes,adult,38.4,92,20,normal,?,?,'>=3',?,hypomotile,moderate,?,?,?,normal,?,?,?,?,?,lived,yes
yes,adult,37.3,90,40,cool,?,'dark cyanotic','>=3','continuous severe pain',absent,moderate,slight,'>1l',?,normal,'distended large intestine',65,50,serosanguinous,2,euthanized,yes
yes,adult,38.3,80,?,cool,reduced,'pale cyanotic','>=3','continuous severe pain',absent,moderate,slight,none,?,absent,'distended small intestine',45,7.5,cloudy,4.6,lived,yes
no,adult,37.9,72,?,normal,normal,'bright red','>=3','intermittent mild pain',hypomotile,none,none,'<1l',2,decreased,'distended small intestine',58,74,clear,2,lived,yes
yes,adult,37.1,60,20,warm,?,'pale cyanotic','<3','intermittent mild pain',?,moderate,?,'>1l',5,decreased,'distended small intestine',64,8.5,cloudy,?,lived,yes
