@relation horse-colic
@attribute 'surgery' {yes,no}
@attribute 'Age' {adult,young}
@attribute 'rectal_temperature' real [35.4,40.8]
@attribute 'pulse' real [30,184]
@attribute 'respiratory_rate' real [8,96]
@attribute 'temp_extremities' {normal,warm,cool,cold}
@attribute 'peripheral_pulse' {normal,increased,reduced,absent}
@attribute 'mucous_membranes' {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute 'capillary_refill_time' {'<3','>=3','meaning unknown'}
@attribute 'pain' {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute 'peristalsis' {hypermotile,normal,hypomotile,absent}
@attribute 'abdominal_distension' {none,slight,moderate,severe}
@attribute 'nasogastric_tube' {none,slight,significant}
@attribute 'nasogastric_reflux' {none,'>1l','<1l'}
@attribute 'nasogastric_reflux_PH' real [1,8.5]
@attribute 'rectal_examination' {normal,increased,decreased,absent}
@attribute 'abdomen' {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute 'packed_cell_volume' real [4,75]
@attribute 'total_protein' real [3.3,89]
@attribute 'abdominocentesis_appearance' {clear,cloudy,serosanguinous}
@attribute 'abdomcentesis_total_protein' real [0.1,10.1]
@attribute 'outcome' {lived,died,euthanized}
@attribute 'class' {yes,no}
@data
yes,adult,?,70,36,normal,?,'pale pink','>=3',depressed,hypomotile,slight,slight,?,?,absent,'distended large intestine',36,7.3,?,?,lived,yes
yes,adult,?,?,?,cool,reduced,'pale pink','meaning unknown','continuous severe pain',hypomotile,moderate,significant,'>1l',?,absent,'distended large intestine',46,5.9,?,?,died,yes
yes,adult,38,86,24,cold,reduced,'pale cyanotic','<3',depressed,absent,severe,none,none,?,absent,'distended large intestine',45,5.5,clear,10.1,died,yes
no,adult,37.6,88,36,cool,normal,'normal pink','<3','intermittent mild pain',hypomotile,slight,none,'<1l',1.5,?,?,44,6,?,?,died,yes
yes,adult,?,60,30,cool,reduced,'pale cyanotic','>=3','continuous severe pain',absent,severe,none,none,?,absent,?,45,70,serosanguinous,2,lived,yes
no,adult,39.1,72,52,warm,?,'bright pink','<3',depressed,hypermotile,slight,none,none,?,absent,'distended small intestine',50,7.8,?,?,lived,yes
no,adult,38.8,48,40,normal,normal,'pale pink','<3','intermittent mild pain',hypomotile,severe,slight,?,?,?,'distended large intestine',41,65,?,?,lived,yes
no,adult,?,40,16,?,?,?,'<3',?,?,?,?,?,?,?,?,50,7,cloudy,3.9,euthanized,yes
yes,adult,38.1,52,24,normal,normal,'bright red','<3','intermittent severe pain',hypomotile,none,slight,'<1l',7,normal,?,54,7.5,cloudy,2.6,died,yes
yes,adult,37.1,40,8,?,normal,'pale cyanotic','<3','intermittent mild pain',hypomotile,none,none,none,?,decreased,'firm feces in large intestine',23,6.7,serosanguinous,?,lived,yes
